Job function,Total followers
Engineering,166
Business Development,155
Research,117
Education,80
Information Technology,47
Marketing,47
Operations,39
Arts and Design,34
Sales,34
Community and Social Services,33
Media and Communication,33
Program and Project Management,32
Consulting,30
Administrative,22
Product Management,21
Human Resources,17
Finance,13
Customer Success and Support,10
Entrepreneurship,9
Accounting,8
Healthcare Services,8
Legal,8
Purchasing,4
Military and Protective Services,3
Quality Assurance,3
Real Estate,2
