Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
,https://www.linkedin.com/feed/update/urn:li:activity:7088110608696393728,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",07/21/2023,,,All followers,26,,,6,0.230769232,0,0,0,,0.230769232,
"Wondering what are latest technology trends? Knock-knock, industry 5.0 is waiting for you!

🚀 What could be your contributions towards solving the real world problems while keeping pace with progress? 

🌟 Comment below and let's figure out how #researchers can help #smes jn achieving your goals! 

#industry50 #techtrends2023 #techrevolution #techtrends ",https://www.linkedin.com/feed/update/urn:li:activity:7087858576936828928,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",07/20/2023,,,All followers,204,,,5,0.024509804,3,0,0,,0.039215688,
,https://www.linkedin.com/feed/update/urn:li:activity:7085218203932520448,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",07/13/2023,,,All followers,43,,,2,0.046511628,0,0,0,,0.046511628,
"Business innovations are based on such applied and fundamental breakthroughs by researchers 👏 We enable this crucial collaboration between scientists and SMEs, too.

Here is an example how businesses can boost their business development by gaining a competitive edge and be ahead in #sustainability practices 

#collaboration #businessdevelopment  #researchers #research #competitiveadvantages",https://www.linkedin.com/feed/update/urn:li:activity:7083385834501996544,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",07/08/2023,,,All followers,536,,,9,0.016791046,5,0,0,,0.026119404,
"💜 We deeply appreciate the dedication of these 5 startups in fostering a better future. Our mission aligns with impact-driven enterprises, facilitating collaboration and providing access to cutting-edge research and breakthroughs through our experienced R&D experts. 

🚀 Whether it's supporting product development, defining market niches, or empowering your organization with industry and innovation landscape guidance, we are committed to helping you achieve your goals. 

💯 Together, we can drive innovation and make a lasting positive and science-based impact on society. 

Book a call: https://lnkd.in/d8FmPxyz
Our website: www.researchpreneurs.com

#researchpreneurs #startups #science #collaboration #wmf2023 #knowledgeeconomy #knowledgetransfer #researchandinnovation #innovation #research #future #opportunity #impact",https://www.linkedin.com/feed/update/urn:li:activity:7081363783587160064,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",07/02/2023,,,All followers,91,,,4,0.043956045,2,0,0,,0.065934069,
"What a great event - WMF - We Make Future! Thank for the opportunity meeting outstanding businesses and find partners! We look forward to follow up  and create fruitful collaborations with Italian businesses and research associations. 

#wmf2023 #knowledgeeconomy #knowledgetransfer #researchandinnovation #innovation #research #future #opportunity ",https://www.linkedin.com/feed/update/urn:li:activity:7078662933471203328,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",06/25/2023,,,All followers,304,,,38,0.125,15,0,0,,0.174342111,
"Berlin and Brandenburg based PhDs and PostDocs register for Innovation Practices for Early Career Researchers 

This workshop is a hands-on introduction to the emergence and forms of science-related innovations as well as the individual role of the researchers in this process.

Workshop Language: English
Venue: Forum Adlershof, Rudower chaussee 22, 12489 Berlin


#innovation #science #career #workshop ",https://www.linkedin.com/feed/update/urn:li:activity:7077301658669506560,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",06/21/2023,,,All followers,86,,,0,0,3,0,0,,0.034883723,
"📢 Calling all professionals in the scientific and technology sectors! 🚀

We need your expertise and insights! 🧠💡

Join our exclusive survey and have a voice in shaping the future of scientific advisory services. 🌍🔬

https://lnkd.in/gCr8F52W

Your input will directly influence the development of our innovative Advisory Board. 🚀

Don't miss out on this opportunity to make a difference! 🌟 Participate now and let your ideas fuel the next wave of scientific advancements. 🚀

Click the link below to take the survey and be a part of the scientific revolution! 📝🔬

https://lnkd.in/gCr8F52W

#Research #Science #Technology #AdvisoryBoard #Survey #Innovation #Collaboration #development #agriculture 
#agritech #researchanddevelopment 
",https://www.linkedin.com/feed/update/urn:li:activity:7072168704154767361,Organic,,Rim Silini,06/07/2023,,,All followers,241,41,,13,0.053941909,4,0,0,,0.070539422,Video
"🗣 Survey for better service: https://lnkd.in/eCmRDacc 
We look for valuable inputs from any industry sector and any stage of startups. 

#survey #startups #advisoryboard #advisors 
",https://www.linkedin.com/feed/update/urn:li:activity:7072114073961680896,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",06/07/2023,,,All followers,131,,,6,0.045801528,3,0,0,,0.068702288,
"🚀 Founders of RESEARCHPRENEURS, Alevtina and Julia, bring together the worlds of research and entrepreneurship with their own expertise. Alevtina holds a PhD in Soil Science and a few Masters, while Julia has an MSc in Materials Science. They also have extensive experience working in multiple startups and now with, too 😉.

💡 This scientific background is at the core of our problem-solving approach. We advocate for startups to embrace a scientific mindset, which fosters trust among stakeholders, including clients and investors.

🔬 If you are seeking research and development support for your startup, we are here to help. Our team is well-equipped to assist you with a wide range of challenges. Don't hesitate to reach out to us at any time: info@researchpreneurs.com

🌟 Currently, we are thrilled to be collaborating with exceptional MSc students who specialize in marketing data analysis. As part of our quest to optimize efficiency, we are leveraging social media data to analyze our competitors. By learning from their best social media practices, we aim to achieve higher visibility and exponential growth.

📊 If you are a student interested in joining us on this exciting journey or if you know someone who might be, please don't hesitate to get in touch. 

#RESEARCHPRENEURS #ScientificApproach #Startups #researchanddevelopment  #Collaboration #MarketingDataAnalysis #CompetitiveAnalysis #ExponentialGrowth #founders #marketing #team 

Thank you to Diana Hristova from The Berlin School of Economics and Law for running the ""Text, Web and Social Media Analytics Lab“! ",https://www.linkedin.com/feed/update/urn:li:activity:7066329349649485824,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",05/17/2023,,,All followers,419,,,34,0.081145585,9,0,2,,0.10739857,
"Join us online in one week! We're taking part in a startup battle on May 24th at 4PM CET. We have a dream of participating in a startup exchange program in New York!
.
.
Organized by CUNY Startups Startup Incubator Berlin Baruch College The Berlin School of Economics and Law

More details: https://lnkd.in/eF69PKKe

#researchpreneurs #startups #pitchingideas #researchanddevelopment #researchandinnovation  ",https://www.linkedin.com/feed/update/urn:li:activity:7064626774424334336,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",05/17/2023,,,All followers,113,,,0,0,4,0,1,,0.044247787,
"🎉🎉 Exciting News! 🎉🎉 
We have reached a milestone of 1000 followers on LinkedIn! 🎉🎊🎉 Thank you all for your incredible support and engagement. 🙌🤝 It's truly an honor to have such a fantastic community that appreciates and values our content. 🌟✨

🎈🎈 This achievement calls for a celebration! 🎈🎈 We are grateful for each and every one of you who has been a part of our journey. 🎉🎁✨ Your continuous support motivates us to strive for excellence and deliver valuable insights and resources to you.

🚀🔥🚀 We couldn't have reached this milestone without your amazing contributions, comments, and shares. 📢🗣️ Your engagement has helped us grow and connect with more professionals in our industry. Together, we are building a strong network of like-minded individuals who are passionate about success and growth. 💪💼


🙏🙏 Thank you for being an integral part of our LinkedIn community. We look forward to providing even more valuable content and fostering meaningful discussions with all of you. 🌐📚🤝
  
#MilestoneAchievement #1001Followers #CommunityLove  #Grateful #LinkedInSuccess #NetworkBuilding #startupcommunity 	#researchpreneurs #startups #innovation #thankyou #community #network #engagement ",https://www.linkedin.com/feed/update/urn:li:activity:7064124830878441472,Organic,,Julia Jakovleva,05/15/2023,,,All followers,291,225,,11,0.037800688,12,2,1,,0.082474224,Video
,https://www.linkedin.com/feed/update/urn:li:activity:7058146556851486720,Organic,,Rim Silini,04/29/2023,,,All followers,95,,,18,0.189473689,0,0,0,,0.189473689,
,https://www.linkedin.com/feed/update/urn:li:activity:7056504663734394880,Organic,,Julia Jakovleva,04/25/2023,,,All followers,144,,,54,0.375,0,0,0,,0.375,
"🎉🚀 So excited to share our experience at Hannover Messe 2023! 🔥👀

From AI and Industry 4.0 to energy management and cross-technology solutions, we saw it all and more! 😍🙌

🤝 It was truly inspiring to network with amazing innovators and learn about the latest trends and solutions in tech.

🌟 Stay tuned for more updates on how we're bringing this knowledge and expertise to empower startups and researchers!


🌐 www.researchpreneurs.com 



#HannoverMesse2023 #TechFair #Innovation #Networking #EmpoweringResearch #Researchpreneurs
",https://www.linkedin.com/feed/update/urn:li:activity:7054844562074169344,Organic,,Rim Silini,04/20/2023,,,All followers,271,60,,6,0.022140222,8,0,0,,0.047970481,Video
"We prepared the innovator's bridge canvas for today's workshop! Let's is know if you're curious to see how it looks like!

#cooperation #innovation #collaboration #researchers #startups ",https://www.linkedin.com/feed/update/urn:li:activity:7054736237806407680,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/20/2023,,,All followers,93,,,0,0,0,0,0,,0,
,https://www.linkedin.com/feed/update/urn:li:activity:7054735605615718400,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/20/2023,,,All followers,125,,,69,0.551999986,0,0,0,,0.551999986,
"Who’s here today? Let’s meet. 
Absolutely stunning conference 🌎",https://www.linkedin.com/feed/update/urn:li:activity:7053669282227871745,Organic,,Julia Jakovleva,04/17/2023,,,All followers,92,,,0,0,0,0,0,,0,
"Only 1 ticket left (free of charge) to attend #circulareconomy event! 

Our founder Alevtina Evgrafova, PhD, ACC ICF will be co-leading a workshop “Boosting collaboration challenges between researchers and startups: Joint practices to solve circular economy challenges”. 

Come and network with like-minded experts and startups! 

#researchers #circularity #innovation #researchpreneurs #collaboration ",https://www.linkedin.com/feed/update/urn:li:activity:7053018620800507904,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/15/2023,,,All followers,71,,,4,0.056338027,0,0,0,,0.056338027,
"Impact startups and active researchers see you on April 27th at BHT Startup Hub! 

Share with us what events you're planning to attend this spring and summer? 

#networking #innovation #researchers #science #startups ",https://www.linkedin.com/feed/update/urn:li:activity:7052402577950261248,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/13/2023,,,All followers,217,,,5,0.023041476,3,0,0,,0.032258064,
We're #hiring a new Content Strategist in Germany. Apply today or share this post with your network.,https://www.linkedin.com/feed/update/urn:li:activity:7051962939355860992,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/12/2023,,,All followers,132,,,11,0.083333336,2,0,0,,0.090909094,
,https://www.linkedin.com/feed/update/urn:li:activity:7051673528323981312,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/11/2023,,,All followers,138,,,5,0.036231883,0,0,0,,0.036231883,
